-0.5625,;@ivortossell When they're coming out of their stupor they will attack each other viciously,,
0,";Drinking  The Corruption by @dcbrau @ Danvers, MA É?? https://t.co/8QWXAAlNjN",,
0,;https://t.co/aypwVVfTm3 @DarlaMiles7 @LoriStokes7 @SadeABC @KaityTong @ToniYates7 @ReneeStollTV  @mcharlesworth7 @AJRossABC7 @AmyFreeze7,,
0.125744048,;{#NYFW: Bloggers In Crime} Something a little different and super special just went liveÉ?? https://t.co/oRZACCWwZT,,
-0.125,";Other on 800 BLOCK OF N FULTON AV, Baltimore, MD (via https://t.co/vDNm2jUIqh): DISORDERLY. Call Number: P160510... https://t.co/5cZ7hC4zVA",,
-0.125,";Other on E LAFAYETTE AV/N CHARLES ST, Baltimore, MD (via https://t.co/vDNm2jUIqh): DISORDERLY. Call Number: P160... https://t.co/ufLeNJtYV5",,
-0.0625,";Other on 3800 BLOCK OF COPLEY RD, Baltimore, MD (via https://t.co/vDNm2jUIqh): SILENT ALARM. Call Number: P16051... https://t.co/D1eIbYWZpP",,
-0.0625,";Other on 4000 BLOCK OF WHITE AV, Baltimore, MD (via https://t.co/vDNm2jUIqh): SUSPICIOUS PERS. Call Number: P160... https://t.co/jRGgUO2vCo",,
-0.125,";Other on 600 BLOCK OF DUMBARTON AV, Baltimore, MD (via https://t.co/vDNm2jUIqh): DISORDERLY. Call Number: P16051... https://t.co/PglTxlPDcA",,
0,";how does Sony support rape?  breach of contract is actually illegal, it's not just something they enforce because they love money",,
0,;#IF LIVIN YO LIFE LIKE IT's G???ÅLden was a CRIME I KNOW THeY'd give ME #LI I F E !!!! L I F EÉ?? https://t.co/MlnSJtxkSU,,
0.7,;@JAmy208 @ECLankford good. Then u support the illegals,amp;dont cry for help when refugees rape u. I guess ur an elite ,amp;safe fr that
0,;Explain @MaryamNSharif who will do? Who said? Corruption @highrate with #NawazGovt @mubasherlucman,,
0,;Face/Roll Dodge w/ Frank Bonner. #boxskillz #preseasontraining #postupmoves #attack #finishing @É?? https://t.co/Bl1KWMXQyj,,
0,";Attack of the Sams @ Toys""R""Us/Babies""R""Us https://t.co/9W5giqgq7g",,
0,;FBI Doubles Reward for Arlington Bank Robbery Suspect https://t.co/RbuQxSApPk,,
0,;Partner in crime ???? #gethighoncap #CapTurns1 #aboutlastnight @ SKY TING YOGA https://t.co/gS05ONC1DQ,,
0,;Rockville ?? o tipo de vilarejo que te lembra filmes de terror. //É?? https://t.co/HUbJd8lHW8,,
0,;Drinking  The Corruption by @dcbrau at @theironabbey É?? https://t.co/kd5JYFrOx4,,
0,;Investigators probing #Disney cruise worker Rebecca #Coriam disappearance have É??murder suspectsÉ?? list https://t.co/1uZ8s2n7wF,,
